Airport Code;Airport Name;City Name;Country Name;Country Code;Latitude;Longitude;World Area Code;City Name geo_name_id;Country Name geo_name_id;coordinates
HKS;Hawkins Field;Jackson;United States;US;32.333611;-90.222222;67;5828648;6252001;32.333611, -90.222222
CIN;Carroll;Carroll;United States;US;42.05;-94.783333;67;4850478;6252001;42.05, -94.783333
KOA;Kona International Airport;Kona, HI;United States;US;19.738889;-156.045556;67;\N;6252001;19.738889, -156.045556
GNG;Gooding;Gooding;United States;US;42.916667;-114.783333;67;5594307;6252001;42.916667, -114.783333
EYW;International;Key West;United States;US;24.55;-81.766667;67;4160812;6252001;24.55, -81.766667
ISW;Alexander Field;Wisconsin Rapids;United States;US;44.766667;-89.677778;67;5279436;6252001;44.766667, -89.677778
TAD;Las Animas;Trinidad;United States;US;5.416667;-71.666667;67;5442007;6252001;5.416667, -71.666667
BBW;Broken Bow;Broken Bow;United States;US;41.4;-99.633333;67;5064638;6252001;41.4, -99.633333
KLS;Longview;Kelso;United States;US;46.15;-122.9;67;5799571;6252001;46.15, -122.9
SVC;Grant County;Silver City;United States;US;32.633333;-108.166667;67;5491487;6252001;32.633333, -108.166667
SNK;Winston Field;Snyder;United States;US;32.7;-100.95;67;5530921;6252001;32.7, -100.95
HTO;East Hampton;East Hampton;United States;US;40.966667;-72.233333;67;5115871;6252001;40.966667, -72.233333
HAE;Havasupai;Havasupai;United States;US;36.230556;-112.669444;67;\N;6252001;36.230556, -112.669444
FPY;Perry-Foley;Perry;United States;US;30.116667;-83.583333;67;5779613;6252001;30.116667, -83.583333
OLM;Olympia;Olympia;United States;US;46.966667;-122.9;67;5805687;6252001;46.966667, -122.9
TKL;Taku SPB;Taku Lodge;United States;US;59.783333;-1.25;67;\N;6252001;59.783333, -1.25
AND;Anderson;Anderson;United States;US;34.5;-82.716667;67;5558857;6252001;34.5, -82.716667
AGN;Angoon;Angoon;United States;US;57.5;-134.583333;67;\N;6252001;57.5, -134.583333
HCA;Howard County;Big Spring;United States;US;32.3;-101.433333;67;5517061;6252001;32.3, -101.433333
DNN;Municipal;Dalton;United States;US;34.716667;-84.866667;67;5186267;6252001;34.716667, -84.866667
BGR;Bangor International Airport;Bangor;United States;US;44.8;-68.816667;67;5244626;6252001;44.8, -68.816667
BOW;Bartow;Bartow;United States;US;27.933333;-81.783333;67;4146723;6252001;27.933333, -81.783333
KEB;Nanwalek;Nanwalek;United States;US;59.366667;-151.916667;67;\N;6252001;59.366667, -151.916667
OAK;Oakland International Airport;Oakland;United States;US;37.716667;-122.216667;67;5378538;6252001;37.716667, -122.216667
STS;Sonoma County;Santa Rosa;United States;US;38.516667;-122.8;67;5490338;6252001;38.516667, -122.8
EFW;Municipal;Jefferson;United States;US;42.016667;-94.383333;67;5733532;6252001;42.016667, -94.383333
CGF;Cuyahoga County;Cleveland;United States;US;41.5525;-81.483889;67;5248933;6252001;41.5525, -81.483889
BFD;Bradford;Bradford;United States;US;41.8;-78.633333;67;5221030;6252001;41.8, -78.633333
LHV;W T Piper Memorial;Lock Haven;United States;US;41.133333;-77.45;67;5198635;6252001;41.133333, -77.45
BSF;Bradshaw AAF;Pohakuloa;United States;US;66.15;25.866667;67;\N;6252001;66.15, 25.866667
KKA;Koyuk;Koyuk;United States;US;64.916667;-161.133333;67;\N;6252001;64.916667, -161.133333
FDK;Frederick Municipal;Frederick;United States;US;39.4175;-77.374444;67;5577217;6252001;39.4175, -77.374444
PTC;Port Alice;Port Alice;United States;US;55.791667;-133.6;67;\N;6252001;55.791667, -133.6
DVL;Devils Lake;Devils Lake;United States;US;48.116667;-98.9;67;5058868;6252001;48.116667, -98.9
TSG;Intermediate;Tanacross;United States;US;45.228056;18.073333;67;\N;6252001;45.228056, 18.073333
OCF;Taylor Field;Ocala;United States;US;29.166667;-82.216667;67;4166673;6252001;29.166667, -82.216667
WCR;Chandalar;Chandalar;United States;US;67.5;-148.5;67;\N;6252001;67.5, -148.5
HPV;Princeville;Kauai Island;United States;US;22.2125;-159.446667;67;\N;6252001;22.2125, -159.446667
ANY;Anthony;Anthony;United States;US;37.15;-98.033333;67;5516368;6252001;37.15, -98.033333
FIC;Fire Cove;Fire Cove;United States;US;55.777778;-131.5375;67;\N;6252001;55.777778, -131.5375
CIK;Chalkyitsik;Chalkyitsik;United States;US;66.65;-143.75;67;\N;6252001;66.65, -143.75
ASY;Ashley;Ashley;United States;US;46.033333;-99.366667;67;5178612;6252001;46.033333, -99.366667
PLR;St Clair County;Pell City;United States;US;33.583333;-86.283333;67;4082589;6252001;33.583333, -86.283333
WLB;Labouchere Bay;Labouchere Bay;United States;US;56.291667;-133.658333;67;\N;6252001;56.291667, -133.658333
ANI;Aniak;Aniak;United States;US;61.583333;-159.533333;67;\N;6252001;61.583333, -159.533333
UOS;Franklin County;Sewanee;United States;US;35.205278;-85.898056;67;4656589;6252001;35.205278, -85.898056
CKX;Chicken;Chicken;United States;US;64.083333;-141.916667;67;\N;6252001;64.083333, -141.916667
DRO;La Plata;Durango;United States;US;37.15;-107.75;67;5420241;6252001;37.15, -107.75
GUN;Gunter AFB;Montgomery;United States;US;51.066667;-1.166667;67;5201752;6252001;51.066667, -1.166667
MLB;Melbourne International Airport;Melbourne;United States;US;28.1;-80.633333;67;4163971;6252001;28.1, -80.633333
WSJ;San Juan SPB;San Juan;United States;US;57.733333;-153.3;67;4726440;6252001;57.733333, -153.3
KAL;Kaltag;Kaltag;United States;US;64.333333;-158.7;67;\N;6252001;64.333333, -158.7
GSP;Greenville Spartanbur Int'l Airport;Greenville;United States;US;34.895556;-82.218889;67;5564488;6252001;34.895556, -82.218889
AKC;Fulton International;Akron/Canton;United States;US;-26.8;23.75;67;5574199;6252001;-26.8, 23.75
STJ;Rosecrans Memorial;St Joseph;United States;US;39.766667;-94.916667;67;\N;6252001;39.766667, -94.916667
FHU;Municipal;Sierra Vista;United States;US;31.588333;-110.344444;67;5314328;6252001;31.588333, -110.344444
RBH;Brooks Lodge;Brooks Lodge;United States;US;58.55;-155.8;67;\N;6252001;58.55, -155.8
RCR;Fulton County;Rochester;United States;US;49.916667;-0.966666999999999;67;5808524;6252001;49.916667, -0.966666999999999
KCQ;Chignik;Chignik;United States;US;56.261111;-158.777778;67;\N;6252001;56.261111, -158.777778
